topic,question,answer
History of Architecture,Who designed the Parthenon?,Ictinus and Callicrates under the direction of Pericles
History of Architecture,What architectural order is used in the Parthenon?,Doric order on the exterior and Ionic order in the interior
Structural,What is the modulus of elasticity of steel?,29000 ksi or 200 GPa
Structural,What is the typical compressive strength of concrete?,3000 to 5000 psi for normal construction
Standards & Codes,What is the minimum ceiling height for habitable rooms in the Philippines?,2.40 meters according to the National Building Code
Standards & Codes,What is the minimum width for a residential stairway?,0.90 meters clear width
Plumbing,What is the minimum diameter for a water closet drain?,100mm or 4 inches
Plumbing,What is the recommended water pressure for residential buildings?,20 to 60 psi
Electrical,What is the standard voltage for residential electrical service in the Philippines?,230 volts single phase
Electrical,What is the minimum lighting requirement for general spaces?,100 to 200 lux depending on the activity
